fincode,name
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217640,Call Money
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217824,Other Derivaties
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
289951,Sankhya Financial Service Pvt Ltd.
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217285,Reverse Repo
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217640,Call Money
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
218038,Repo Instruments
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
207979,Clearing Corporation Of India Ltd.
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
317873,AMC Repo Clearing Ltd.
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217640,Call Money
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217640,Call Money
217639,Cash & Cash Equivalent
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217286,CBLO
217286,CBLO
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
289951,Sankhya Financial Service Pvt Ltd.
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217640,Call Money
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217824,Other Derivaties
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
218038,Repo Instruments
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
